,0
110553,8.496906548336678e-06
73392,9.598677111586125e-06
114074,1.602545249819322e-05
55290,0.00011606333240259315
5989,0.0009728504656522862
5980,1.0197918413403144e-05
5981,1.309344859624593e-05
5986,8.355247052777303e-06
130642,1.075554952775322e-05
102819,2.781504329012454e-05
43871,1.3814326170636023e-05
6796,0.0002524376868232058
6797,9.311175891063183e-06
6794,9.523962650357599e-06
27373,8.260426431658087e-06
6793,2.059789834797003e-05
6790,3.111149764428836e-05
6791,4.0174022770159604e-05
270,0.00012989791120130215
271,4.822489051399267e-05
272,0.00046762658281389877
273,0.00012197954879581584
32017,1.414512799940758e-05
49,1.546148900201064e-05
80599,9.291398017635067e-06
277,0.0003534651228617957
278,1.546148900201064e-05
279,3.659718603950562e-05
32019,1.0427280531814782e-05
117529,4.5854993689411345e-05
26393,1.0466385751753864e-05
52462,2.0434925973831426e-05
101947,8.045587631795888e-06
106473,8.909541982926342e-06
64900,1.075554952775322e-05
45447,0.00011954854708617209
4645,1.0705190896347436e-05
45442,1.3814326170636023e-05
141124,1.1499772631322226e-05
45440,1.9340256711461778e-05
85612,8.25377621984167e-06
44245,1.075554952775322e-05
7786,7.672689266589663e-06
3519,3.900119495552837e-05
3513,3.270982586665256e-05
3512,0.0001077996896751074
3510,0.00028945418957312496
3516,3.568364736317706e-05
84696,1.0379537403072828e-05
70663,8.258691958690677e-06
2688,0.00016808967990715408
2689,2.3721915433668728e-05
2686,0.00016983996826343175
2687,0.00020737740888290439
2682,4.465968036279569e-05
2683,0.0007044032473206089
71282,8.568646921639344e-06
71535,0.000280680678448392
71530,2.209695267224264e-05
99,3.4251270271338006e-05
93,2.7498580437884446e-05
92,8.770693691437038e-05
95,0.000671797160912092
94,0.00017972116186715015
97,0.00012479206881189258
70488,9.291398017635067e-06
102716,1.075554952775322e-05
71755,8.822536208708799e-06
41566,0.0002933962755943628
41569,0.0001312606785115228
44421,8.260426431658087e-06
83613,1.8771823384113468e-05
156387,8.260426431658087e-06
1177,8.64250320285361e-05
1176,9.044226825704047e-05
1175,0.000310908072380009
1173,0.00011173523349217149
1172,0.0004095978963118351
1171,0.00020629087550365805
1179,0.00034113447577126493
1178,0.00014569580667148712
68269,2.5934359064212326e-05
27611,0.00015875526418693384
97938,0.00016085176870820193
514,0.00010561459396235078
876,1.1466784502037847e-05
7180,8.260426431658087e-06
7186,9.41693824372334e-06
118890,9.896000767617889e-06
872,7.672689266589663e-06
621,2.819196873690584e-05
3435,0.0002844951731161486
1224,0.00018932700514657773
8019,2.089664953461988e-05
8544,1.0029601114091832e-05
8015,9.41693824372334e-06
8014,5.662218623974617e-05
8012,3.6693244312779116e-05
8011,2.55128609408048e-05
8010,1.2418310540902938e-05
7456,1.0413875496518888e-05
2741,1.0962186637827749e-05
7454,5.693052052905062e-05
7451,0.00017778032374375175
95949,1.1075956736417363e-05
7458,0.0001980209711857046
7459,2.067668064841544e-05
4591,8.485638670039263e-06
2033,4.356964297547524e-05
66509,1.9534202028848803e-05
2031,9.41693824372334e-06
65088,1.090905379462858e-05
