,0
110553,9.352367008272737e-06
73392,1.3203520120709127e-05
114074,2.1244703624402824e-05
55290,0.00014852244852839202
5989,0.001127423372857132
5980,1.7043761380790015e-05
5981,1.0724516618474458e-05
5986,9.154634937577253e-06
130642,1.5121596818582268e-05
102819,3.452984168153106e-05
43871,1.4593812273578927e-05
6796,0.00028847553619715336
6797,1.1015186324651014e-05
6794,1.0076261833646998e-05
27373,9.630644837012574e-06
6793,2.2905153770368344e-05
6790,3.634230135789878e-05
6791,4.022763342869495e-05
270,5.440934948342958e-05
271,2.0827578671695636e-05
272,0.00035767152404539394
273,6.718525133803922e-05
32017,1.0750779940860594e-05
49,1.052636029640574e-05
80599,9.697439235419377e-06
277,0.00020573126925406068
278,1.052636029640574e-05
279,2.415839177511431e-05
32019,1.334396338842197e-05
117529,5.984883160559365e-05
26393,1.2643950631192479e-05
52462,2.558849895239214e-05
101947,1.209497151175205e-05
106473,1.1940805459735148e-05
64900,1.5121596818582268e-05
45447,0.00014507136416047294
4645,1.302734174513696e-05
45442,1.4593812273578927e-05
141124,1.0108153245235314e-05
45440,2.264887710819844e-05
85612,1.0466569281823209e-05
44245,1.5121596818582268e-05
7786,1.0159682002213019e-05
3519,4.577368057669509e-05
3513,3.3064759836241805e-05
3512,0.00014473627898104656
3510,0.007795444745614516
3516,3.273348145289301e-05
84696,1.4646415981615851e-05
70663,9.522924956176921e-06
2688,0.00020867103627417172
2689,2.015700513341831e-05
2686,0.0002270581843213206
2687,0.000199667704051401
2682,4.597102587156681e-05
2683,0.0007831289472496911
71282,1.905012896176824e-05
71535,0.00034519480122509696
71530,2.474342168699076e-05
99,2.3364873803418235e-05
93,9.449386586332479e-06
92,7.846742454384259e-05
95,0.00042242616118939733
94,0.00015694246306500483
97,8.012681309565822e-05
70488,9.697439235419377e-06
102716,1.5121596818582268e-05
71755,1.1534921187462455e-05
41566,0.00031855990656774654
41569,0.00015269658712596768
44421,9.630644837012574e-06
83613,2.5540560502136738e-05
156387,9.630644837012574e-06
1177,8.68262276248747e-05
1176,8.994791200000966e-05
1175,0.00034276004479001794
1173,0.00013825499785124882
1172,0.000477462632197055
1171,0.0002232067308310317
1179,0.00033126180064710825
1178,0.00014548241678524252
68269,3.218338470079912e-05
27611,0.00019364419716777818
97938,0.00021281821684328154
514,0.00011065863482583168
876,1.0407064196143658e-05
7180,9.630644837012574e-06
7186,9.250726147646988e-06
118890,1.115221281791591e-05
872,1.0159682002213019e-05
621,2.2615352818614154e-05
3435,0.0003190950217279583
1224,0.00019487459623100987
8019,2.5451852500145987e-05
8544,1.1931236012855953e-05
8015,9.250726147646988e-06
8014,5.019138135670757e-05
8012,4.345925988419069e-05
8011,3.2554503823604744e-05
8010,1.4263685054581181e-05
7456,1.4128126908805487e-05
2741,1.118999971440758e-05
7454,5.9687830876673256e-05
7451,0.00019325535063847738
95949,1.206232297796369e-05
7458,0.0002034361425179023
7459,2.800747541020225e-05
4591,8.206211768935227e-06
2033,4.774811690163501e-05
66509,2.2154229737276977e-05
2031,9.250726147646988e-06
65088,1.1207380109679536e-05
4844,5.3172246343362164e-05
4734,0.00017474998228807613
26564,9.630644837012574e-06
